,Température (°C),Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Humidité,Pression station,date,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),production_totale
0,7.315312500000023,260.0,4.3253125,83.753125,99147.4375,2013-01-01,2615508.0,175816.0,2380121.0,120822.0,5632.0,326015.0,-67371.0,34437.0,-361741.0,3042843.0
1,5.664375000000023,270.0,3.2828125,83.746875,100368.15625,2013-01-02,3107212.0,227634.0,2680551.0,68501.0,12613.0,423938.0,-33725.0,33651.0,-307605.0,3446888.0
2,6.868437500000023,230.0,2.94125,84.8375,101416.84375,2013-01-03,3196635.0,287155.0,2653696.0,75638.0,10115.0,437392.0,-36701.0,34925.0,-267349.0,3498921.0
3,7.902500000000023,250.0,2.5734375,87.540625,101557.6875,2013-01-04,3129474.0,252028.0,2685912.0,48314.0,6803.0,413973.0,-48142.0,36043.0,-267105.0,3443073.0
4,7.256562500000024,240.0,2.6359375,88.4125,101205.03125,2013-01-05,2884514.0,173959.0,2644075.0,43797.0,7199.0,384203.0,-54130.0,36873.0,-353140.0,3290106.0
5,6.4615625000000225,180.0,2.4203125,88.84375,100894.0625,2013-01-06,2808767.0,172565.0,2600878.0,30038.0,7457.0,325746.0,-56681.0,36547.0,-309437.0,3173231.0
6,5.490312500000024,160.0,2.1996875,89.20625,100524.625,2013-01-07,3267569.0,398320.0,2705945.0,21917.0,7961.0,443753.0,-31242.0,35200.0,-316004.0,3613096.0
7,4.685937500000024,190.0,2.300625,89.346875,100518.65625,2013-01-08,3435444.0,465074.0,2748838.0,20415.0,7047.0,487480.0,-30702.0,35471.0,-299787.0,3764325.0
8,4.390312500000022,190.0,2.1475,90.25625,100074.59375,2013-01-09,3502398.0,394731.0,2805233.0,21796.0,6700.0,521116.0,-27903.0,35858.0,-256839.0,3785434.0
9,6.359687500000023,220.0,3.4228125,89.1625,99543.1875,2013-01-10,3433537.0,385160.0,2791166.0,59509.0,6694.0,448361.0,-36018.0,35607.0,-258738.0,3726497.0
10,6.199375000000022,270.0,3.951875,81.3125,99619.375,2013-01-11,3363850.0,387634.0,2800603.0,68636.0,13712.0,428415.0,-41511.0,37432.0,-332879.0,3736432.0
11,4.433750000000021,160.0,3.0984375,84.271875,99141.46875,2013-01-12,3160040.0,313167.0,2786561.0,48277.0,8886.0,377875.0,-53370.0,38110.0,-361272.0,3572876.0
12,3.8084905660377584,135.0,3.15314465408805,87.51572327044025,99062.13836477988,2013-01-13,3105396.0,292990.0,2773474.0,41740.0,4892.0,319636.0,-59061.0,38033.0,-308103.0,3470765.0
13,2.2746875000000233,280.0,4.0903125000000005,79.803125,99239.5,2013-01-14,3669172.0,460608.0,2812897.0,80061.0,8131.0,453798.0,-33185.0,36319.0,-151259.0,3851814.0
14,2.4862500000000223,280.0,4.253125,81.25625,98719.1875,2013-01-15,3765205.0,503235.0,2809563.0,98120.0,8064.0,487621.0,-26369.0,35773.0,-152587.0,3942376.0
15,0.40125786163524413,130.0,3.673899371069182,80.57232704402516,98565.6603773585,2013-01-16,3824210.0,522853.0,2747798.0,40246.0,5875.0,506706.0,-20937.0,35235.0,-15419.0,3858713.0
16,-1.5171874999999788,190.0,3.6503124999999996,72.534375,99150.875,2013-01-17,4016410.0,571534.0,2772618.0,42710.0,12572.0,514021.0,-16871.0,34165.0,83845.0,3947620.0
17,-1.019496855345889,130.0,3.466666666666667,80.35849056603773,98181.2893081761,2013-01-18,4076079.0,620641.0,2804360.0,74715.0,4862.0,524221.0,-21031.0,34949.0,31616.0,4063748.0
18,2.1575000000000233,80.0,4.6009375,90.4375,96857.375,2013-01-19,3659117.0,441518.0,2806572.0,115321.0,2420.0,441553.0,-34811.0,35171.0,-150334.0,3842555.0
19,2.2468750000000233,230.0,4.2125,86.4125,97124.96875,2013-01-20,3469325.0,397356.0,2764706.0,68561.0,4525.0,419458.0,-55600.0,33237.0,-164531.0,3687843.0
20,3.0800000000000227,205.0,4.438750000000001,83.9125,97599.15625,2013-01-21,3755870.0,541211.0,2755313.0,84449.0,9240.0,484158.0,-34735.0,31861.0,-117382.0,3906232.0
21,3.372413793103469,160.0,3.5890282131661446,82.32601880877743,97970.12539184953,2013-01-22,3778431.0,571029.0,2757785.0,64698.0,10168.0,470849.0,-36271.0,32171.0,-93847.0,3906700.0
22,2.958125000000023,170.0,3.583125,86.0875,98287.46875,2013-01-23,3752299.0,605083.0,2766624.0,37310.0,6784.0,468198.0,-31761.0,32942.0,-134667.0,3916941.0
23,2.3015673981191447,100.0,3.5840125391849527,82.79937304075236,98719.40438871473,2013-01-24,3772991.0,614699.0,2774111.0,48900.0,9782.0,484187.0,-30841.0,33971.0,-163606.0,3965650.0
24,0.38459119496857636,150.0,3.667295597484277,77.67610062893081,99255.72327044026,2013-01-25,3903703.0,593336.0,2803101.0,68492.0,14609.0,491734.0,-25805.0,35025.0,-78536.0,4006297.0
25,2.87084639498435,200.0,4.0501567398119125,81.91536050156739,99017.8369905956,2013-01-26,3552885.0,438893.0,2792153.0,96097.0,11908.0,434285.0,-29671.0,35562.0,-228106.0,3808898.0
26,5.443125000000023,190.0,4.3196875,82.815625,98818.0625,2013-01-27,3241442.0,314992.0,2721931.0,166889.0,7117.0,353208.0,-61075.0,35576.0,-298961.0,3599713.0
27,6.554858934169303,230.0,5.136363636363637,82.4576802507837,99472.131661442,2013-01-28,3490478.0,427516.0,2745504.0,174502.0,15936.0,432118.0,-35309.0,34363.0,-305945.0,3829939.0
28,8.825391849529803,210.0,5.835736677115988,82.38244514106583,99737.6802507837,2013-01-29,3416851.0,415134.0,2720890.0,261359.0,10825.0,432126.0,-47258.0,35060.0,-413036.0,3875394.0
29,10.652351097178704,230.0,5.5316614420062695,79.3667711598746,99790.21943573668,2013-01-30,3212219.0,309773.0,2679400.0,237171.0,13758.0,438771.0,-44148.0,35354.0,-459613.0,3714227.0
30,9.602187500000024,230.0,4.89125,80.934375,100174.03125,2013-01-31,3216185.0,308633.0,2677462.0,200437.0,13257.0,451167.0,-44947.0,35872.0,-427525.0,3686828.0
31,9.588437500000023,230.0,5.02125,85.109375,98816.03125,2013-02-01,3172620.0,261933.0,2679927.0,151450.0,6368.0,480640.0,-49685.0,37018.0,-396763.0,3617336.0
32,5.612539184952999,320.0,7.05423197492163,76.61128526645768,98673.26018808778,2013-02-02,3079243.0,210005.0,2638897.0,188792.0,11959.0,434308.0,-66411.0,35998.0,-376062.0,3519959.0
33,3.924137931034506,280.0,5.47398119122257,71.18495297805643,100060.5329153605,2013-02-03,3145257.0,262527.0,2604194.0,144284.0,15836.0,433498.0,-79105.0,36040.0,-273798.0,3496379.0
34,7.878864353312325,260.0,5.505047318611987,81.93375394321767,99956.56151419558,2013-02-04,3368919.0,346712.0,2656956.0,196102.0,9290.0,488504.0,-40533.0,34595.0,-324523.0,3732159.0
35,6.692812500000024,260.0,6.577500000000001,79.234375,99116.09375,2013-02-05,3446600.0,388602.0,2641301.0,230701.0,10038.0,520526.0,-40401.0,34917.0,-340866.0,3826085.0
36,4.426875000000023,290.0,6.639374999999999,78.478125,98437.4375,2013-02-06,3600095.0,429094.0,2654031.0,221051.0,11048.0,520251.0,-31161.0,34643.0,-240620.0,3870118.0
37,3.2790625000000224,310.0,5.4799999999999995,71.990625,99420.0625,2013-02-07,3695854.0,504277.0,2641107.0,121691.0,15080.0,522224.0,-26465.0,35100.0,-118993.0,3839479.0
38,2.476875000000022,290.0,3.6618749999999998,77.84375,99416.3125,2013-02-08,3617467.0,485919.0,2676511.0,54437.0,12424.0,504738.0,-29980.0,35618.0,-123998.0,3769647.0
39,2.0687500000000223,280.0,3.3415624999999998,79.578125,99714.4375,2013-02-09,3452821.0,418103.0,2596523.0,42674.0,12659.0,525696.0,-20712.0,36100.0,-159948.0,3631755.0
40,3.015360501567421,160.0,4.320062695924765,84.72727272727273,98519.49843260187,2013-02-10,3330703.0,336825.0,2654039.0,143119.0,8425.0,433729.0,-55332.0,36529.0,-228377.0,3612666.0
41,3.4777429467084855,240.0,3.994670846394984,85.36363636363636,97748.40125391849,2013-02-11,3580071.0,446374.0,2696419.0,64859.0,8486.0,510726.0,-31130.0,35025.0,-152382.0,3761889.0
42,2.865000000000023,285.0,3.6153125000000004,81.7125,98803.875,2013-02-12,3702135.0,514333.0,2699923.0,43143.0,9420.0,525390.0,-24824.0,34103.0,-101035.0,3826312.0
43,2.634375000000023,165.0,3.4028125000000005,73.309375,99780.125,2013-02-13,3713227.0,495354.0,2688431.0,46823.0,15100.0,523949.0,-14041.0,34300.0,-78431.0,3803957.0
44,4.250937500000023,210.0,4.0184375,80.6375,99699.5625,2013-02-14,3688449.0,483190.0,2712393.0,112923.0,11441.0,508136.0,-17285.0,34562.0,-158689.0,3862645.0
45,5.872500000000023,280.0,2.8493749999999998,81.80625,99828.5625,2013-02-15,3460872.0,449517.0,2702236.0,43226.0,18076.0,494333.0,-28137.0,35294.0,-255390.0,3742682.0
46,4.440000000000022,100.0,2.045,81.0875,99979.96875,2013-02-16,3181186.0,382937.0,2649537.0,16217.0,23815.0,430623.0,-36002.0,35556.0,-323244.0,3538685.0
47,3.8565625000000217,90.0,3.3790625,79.79375,99561.28125,2013-02-17,3080185.0,306367.0,2624714.0,74185.0,23092.0,397842.0,-66049.0,34559.0,-316301.0,3460759.0
48,4.410312500000022,90.0,3.34875,77.40625,99393.34375,2013-02-18,3409738.0,475835.0,2656042.0,66774.0,22869.0,461339.0,-19421.0,33262.0,-288726.0,3716121.0
