annee,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),production_totale
2013,984202747.0,87266526.0,806860416.0,31668252.0,9008891.0,149138720.0,-14366290.0,12228504.0,-98251132.0,1096171309.0
2014,924716987.0,49930330.0,831015813.0,34112716.0,11639659.0,134722266.0,-15980226.0,15020977.0,-135731864.0,1076441761.0
2015,946276795.0,66708505.0,832901717.0,42190658.0,14572731.0,117027600.0,-13777243.0,15833023.0,-129176423.0,1089234234.0
2016,960663183.0,88800876.0,767406882.0,41830906.0,16521789.0,126723997.0,-13498175.0,17423061.0,-84540066.0,1058707511.0
2017,958059296.0,105494281.0,757745265.0,48215889.0,17987913.0,106029857.0,-14317416.0,18877443.0,-81969627.0,1054350648.0
2018,951048277.0,75987783.0,785999198.0,56243318.0,21166093.0,134807771.0,-14798167.0,19092210.0,-127455435.0,1093296373.0
2019,940960158.0,82159760.0,758446402.0,67636063.0,24204372.0,119011411.0,-12861483.0,19321356.0,-116961846.0,1070779364.0
2020,893166002.0,73540841.0,670462846.0,79395278.0,24925056.0,129607989.0,-12526060.0,19357446.0,-91519921.0,997289456.0
2021,937160882.0,75231230.0,721041424.0,73744151.0,27948034.0,122628616.0,-11961682.0,20065869.0,-91405839.0,1040659324.0
2022,900290088.0,95877272.0,557587472.0,77293894.0,36479788.0,98272929.0,-14873137.0,21226375.0,28464059.0,886737730.0
