,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),production_totale,date
0,2615508.0,175816.0,2380121.0,120822.0,5632.0,326015.0,-67371.0,34437.0,-361741.0,3042843.0,2013-01-01
1,3107212.0,227634.0,2680551.0,68501.0,12613.0,423938.0,-33725.0,33651.0,-307605.0,3446888.0,2013-01-02
2,3196635.0,287155.0,2653696.0,75638.0,10115.0,437392.0,-36701.0,34925.0,-267349.0,3498921.0,2013-01-03
3,3129474.0,252028.0,2685912.0,48314.0,6803.0,413973.0,-48142.0,36043.0,-267105.0,3443073.0,2013-01-04
4,2884514.0,173959.0,2644075.0,43797.0,7199.0,384203.0,-54130.0,36873.0,-353140.0,3290106.0,2013-01-05
5,2808767.0,172565.0,2600878.0,30038.0,7457.0,325746.0,-56681.0,36547.0,-309437.0,3173231.0,2013-01-06
6,3267569.0,398320.0,2705945.0,21917.0,7961.0,443753.0,-31242.0,35200.0,-316004.0,3613096.0,2013-01-07
7,3435444.0,465074.0,2748838.0,20415.0,7047.0,487480.0,-30702.0,35471.0,-299787.0,3764325.0,2013-01-08
8,3502398.0,394731.0,2805233.0,21796.0,6700.0,521116.0,-27903.0,35858.0,-256839.0,3785434.0,2013-01-09
9,3433537.0,385160.0,2791166.0,59509.0,6694.0,448361.0,-36018.0,35607.0,-258738.0,3726497.0,2013-01-10
10,3363850.0,387634.0,2800603.0,68636.0,13712.0,428415.0,-41511.0,37432.0,-332879.0,3736432.0,2013-01-11
11,3160040.0,313167.0,2786561.0,48277.0,8886.0,377875.0,-53370.0,38110.0,-361272.0,3572876.0,2013-01-12
12,3105396.0,292990.0,2773474.0,41740.0,4892.0,319636.0,-59061.0,38033.0,-308103.0,3470765.0,2013-01-13
13,3669172.0,460608.0,2812897.0,80061.0,8131.0,453798.0,-33185.0,36319.0,-151259.0,3851814.0,2013-01-14
14,3765205.0,503235.0,2809563.0,98120.0,8064.0,487621.0,-26369.0,35773.0,-152587.0,3942376.0,2013-01-15
15,3824210.0,522853.0,2747798.0,40246.0,5875.0,506706.0,-20937.0,35235.0,-15419.0,3858713.0,2013-01-16
16,4016410.0,571534.0,2772618.0,42710.0,12572.0,514021.0,-16871.0,34165.0,83845.0,3947620.0,2013-01-17
17,4076079.0,620641.0,2804360.0,74715.0,4862.0,524221.0,-21031.0,34949.0,31616.0,4063748.0,2013-01-18
18,3659117.0,441518.0,2806572.0,115321.0,2420.0,441553.0,-34811.0,35171.0,-150334.0,3842555.0,2013-01-19
19,3469325.0,397356.0,2764706.0,68561.0,4525.0,419458.0,-55600.0,33237.0,-164531.0,3687843.0,2013-01-20
20,3755870.0,541211.0,2755313.0,84449.0,9240.0,484158.0,-34735.0,31861.0,-117382.0,3906232.0,2013-01-21
21,3778431.0,571029.0,2757785.0,64698.0,10168.0,470849.0,-36271.0,32171.0,-93847.0,3906700.0,2013-01-22
22,3752299.0,605083.0,2766624.0,37310.0,6784.0,468198.0,-31761.0,32942.0,-134667.0,3916941.0,2013-01-23
23,3772991.0,614699.0,2774111.0,48900.0,9782.0,484187.0,-30841.0,33971.0,-163606.0,3965650.0,2013-01-24
24,3903703.0,593336.0,2803101.0,68492.0,14609.0,491734.0,-25805.0,35025.0,-78536.0,4006297.0,2013-01-25
25,3552885.0,438893.0,2792153.0,96097.0,11908.0,434285.0,-29671.0,35562.0,-228106.0,3808898.0,2013-01-26
26,3241442.0,314992.0,2721931.0,166889.0,7117.0,353208.0,-61075.0,35576.0,-298961.0,3599713.0,2013-01-27
27,3490478.0,427516.0,2745504.0,174502.0,15936.0,432118.0,-35309.0,34363.0,-305945.0,3829939.0,2013-01-28
28,3416851.0,415134.0,2720890.0,261359.0,10825.0,432126.0,-47258.0,35060.0,-413036.0,3875394.0,2013-01-29
29,3212219.0,309773.0,2679400.0,237171.0,13758.0,438771.0,-44148.0,35354.0,-459613.0,3714227.0,2013-01-30
30,3216185.0,308633.0,2677462.0,200437.0,13257.0,451167.0,-44947.0,35872.0,-427525.0,3686828.0,2013-01-31
31,3172620.0,261933.0,2679927.0,151450.0,6368.0,480640.0,-49685.0,37018.0,-396763.0,3617336.0,2013-02-01
32,3079243.0,210005.0,2638897.0,188792.0,11959.0,434308.0,-66411.0,35998.0,-376062.0,3519959.0,2013-02-02
33,3145257.0,262527.0,2604194.0,144284.0,15836.0,433498.0,-79105.0,36040.0,-273798.0,3496379.0,2013-02-03
34,3368919.0,346712.0,2656956.0,196102.0,9290.0,488504.0,-40533.0,34595.0,-324523.0,3732159.0,2013-02-04
35,3446600.0,388602.0,2641301.0,230701.0,10038.0,520526.0,-40401.0,34917.0,-340866.0,3826085.0,2013-02-05
36,3600095.0,429094.0,2654031.0,221051.0,11048.0,520251.0,-31161.0,34643.0,-240620.0,3870118.0,2013-02-06
37,3695854.0,504277.0,2641107.0,121691.0,15080.0,522224.0,-26465.0,35100.0,-118993.0,3839479.0,2013-02-07
38,3617467.0,485919.0,2676511.0,54437.0,12424.0,504738.0,-29980.0,35618.0,-123998.0,3769647.0,2013-02-08
39,3452821.0,418103.0,2596523.0,42674.0,12659.0,525696.0,-20712.0,36100.0,-159948.0,3631755.0,2013-02-09
40,3330703.0,336825.0,2654039.0,143119.0,8425.0,433729.0,-55332.0,36529.0,-228377.0,3612666.0,2013-02-10
41,3580071.0,446374.0,2696419.0,64859.0,8486.0,510726.0,-31130.0,35025.0,-152382.0,3761889.0,2013-02-11
42,3702135.0,514333.0,2699923.0,43143.0,9420.0,525390.0,-24824.0,34103.0,-101035.0,3826312.0,2013-02-12
43,3713227.0,495354.0,2688431.0,46823.0,15100.0,523949.0,-14041.0,34300.0,-78431.0,3803957.0,2013-02-13
44,3688449.0,483190.0,2712393.0,112923.0,11441.0,508136.0,-17285.0,34562.0,-158689.0,3862645.0,2013-02-14
45,3460872.0,449517.0,2702236.0,43226.0,18076.0,494333.0,-28137.0,35294.0,-255390.0,3742682.0,2013-02-15
46,3181186.0,382937.0,2649537.0,16217.0,23815.0,430623.0,-36002.0,35556.0,-323244.0,3538685.0,2013-02-16
47,3080185.0,306367.0,2624714.0,74185.0,23092.0,397842.0,-66049.0,34559.0,-316301.0,3460759.0,2013-02-17
48,3409738.0,475835.0,2656042.0,66774.0,22869.0,461339.0,-19421.0,33262.0,-288726.0,3716121.0,2013-02-18
49,3501023.0,510753.0,2654239.0,28618.0,28004.0,453207.0,-36088.0,34317.0,-173764.0,3709138.0,2013-02-19
50,3501092.0,471176.0,2601233.0,92790.0,28246.0,462483.0,-23623.0,34337.0,-167369.0,3690265.0,2013-02-20
51,3696025.0,509321.0,2599497.0,157844.0,25612.0,519205.0,-28933.0,34520.0,-122877.0,3845999.0,2013-02-21
52,3794663.0,504717.0,2598149.0,175231.0,23576.0,532289.0,-22136.0,35981.0,-54960.0,3869943.0,2013-02-22
53,3754116.0,557423.0,2502867.0,124128.0,12691.0,500536.0,-14607.0,36414.0,32801.0,3734059.0,2013-02-23
54,3612418.0,535492.0,2511622.0,108884.0,11451.0,429624.0,-45813.0,35030.0,24307.0,3632103.0,2013-02-24
55,3850255.0,623837.0,2512041.0,72327.0,11029.0,491864.0,-32553.0,33893.0,136029.0,3744991.0,2013-02-25
56,3814670.0,631745.0,2513691.0,76377.0,17509.0,483477.0,-14859.0,33849.0,71019.0,3756648.0,2013-02-26
